area,year,month,CACI,component_count,T90,T10,P,D,W
Province:Guizhou,2020,12,-0.8185716873161406,5,-1.4752942987728126,2.398806286529329,0.30573044577968084,-1.0517176507958081,0.5272293537375669
Province:Guizhou,2021,1,-0.33983284790467505,5,-0.3319697390324452,0.8008627496561183,0.2953434689557197,-1.3191106991071087,0.45743547931657713
Province:Guizhou,2021,2,0.6689082037458486,5,1.380469921911363,-1.1156683662101345,2.107405515021958,-1.5586785631469058,0.2996757787326925
Province:Guizhou,2021,3,0.3609453931786314,5,2.7244763229056765,-0.8433043066044253,0.2608045316115667,-1.8163099885280867,-0.20754820670042495
Province:Guizhou,2021,4,-0.3140675095678471,5,-0.13474340359920892,0.018489734680488076,1.3400575356397322,-2.0646217744303885,-0.6925401707688824
Province:Guizhou,2021,5,0.2841450529139584,5,-0.07886498289731858,-0.5458961974711191,3.160308099043178,-2.261273461938037,0.054659412890850176
Province:Guizhou,2021,6,1.0378629629253753,5,2.5780730098602347,-0.8840653953575878,4.00941185273765,-2.3672096260663382,0.0849741827377423
Province:Guizhou,2021,7,1.1541001342871624,5,0.8823325251935988,-1.3701321495451286,5.37017656343594,-2.372293545567695,0.52015297882884
Province:Guizhou,2021,8,0.709527672893868,5,2.057355741138174,-0.36380273502691796,2.3873096912061986,-2.2993747705890164,1.0385449676870648
Province:Guizhou,2021,9,0.9011259952330265,5,3.1432810646505778,-1.436794453284157,1.3735690464180408,-2.183741866402372,0.7357272782147289
Province:Guizhou,2021,10,0.30939172091421074,5,1.700176327633928,1.0501739799172745,0.7481573375945642,-2.0539978683636546,2.2027967876234906
Province:Guizhou,2021,11,-0.13646172639629464,5,-0.7671701197478441,0.912829175707503,3.914507829378619,-1.92685733607092,-0.9899598298338249
Province:Guizhou,2021,12,-0.42799283282139455,4,-0.4670188814325069,-0.6040179225975482,,-1.72094317825442,-0.1280271941961995
Province:Guizhou,2022,1,0.8058085775782754,5,-0.2562815188485926,-0.8224901868823646,4.992078482370673,-1.8958278477335664,0.3665835852204982
Province:Guizhou,2022,2,-0.5920499843916506,5,-1.041362038763499,1.5536504225059824,1.7518221794166102,-1.9198607041612343,-0.1971989359441474
Province:Guizhou,2022,3,0.7902455051321688,5,4.241444450803779,-0.9938008915227136,0.4931929060257376,-1.9077419494515209,0.13053122676013496
Province:Guizhou,2022,4,-0.20931069570041494,5,0.08329449196642372,1.4912106664383895,2.7289030544759436,-1.835544902551842,-0.5319954559542107
Province:Guizhou,2022,5,-1.0074386656462369,5,-1.4163286994301767,1.7739970633872018,1.3186869283287128,-1.6839293580297652,-1.4816251357127534
Province:Guizhou,2022,6,0.4114055994929335,5,0.5103599540051507,-1.1132162020435379,1.8841435675774574,-1.455155030977994,0.004463304816515516
Province:Guizhou,2022,7,1.1211904927690928,5,3.630859579065649,-1.2831306158152094,0.7077445544062776,-1.179242194079953,1.1634599086382802
