province,season_year,season,component,raw_value,month_count,grid_count,station_count,reference_mean,reference_sd,reference_n,standardized_value
Jilin,2014,Autumn,W,6.3853844296222135,3,6,10,6.347817724080207,3.3587143097765035,30,0.011184846961427308
Jilin,2014,Spring,T10,4.86675636880048,3,6,10,9.58424491560105,4.3716596561341285,30,-1.0791070023443359
Jilin,2014,Spring,T90,17.84435321213439,3,6,10,9.623019995537119,5.1727807945795385,30,1.5893449854307096
Jilin,2014,Spring,W,1.8537204784845394,3,6,10,6.669476365736921,3.564180671882334,30,-1.3511536957830645
Jilin,2014,Summer,T10,7.848287527788003,3,6,10,9.615492988035236,3.7515103734703086,30,-0.47106506028730283
Jilin,2014,Summer,T90,11.155644779461367,3,6,10,9.583001016094654,6.472096141548924,30,0.24298831923568162
Jilin,2014,Summer,W,5.077289472788751,3,6,10,6.59529494499161,3.171245783403919,30,-0.47867796313582434
Jilin,2014,Winter,T10,4.38939151579702,3,6,10,9.551527418618987,7.670529064146335,29,-0.6729830315031169
Jilin,2014,Winter,T90,10.827871559069445,3,6,10,9.91376159424016,5.333592775536447,29,0.1713872812003996
Jilin,2014,Winter,W,6.974392326980429,3,6,9,6.3730096856980705,2.521033451049837,29,0.2385460776142912
Jilin,2015,Autumn,T10,8.325591818107531,3,6,10,9.589212469633953,4.647280796885773,30,-0.2719053801038226
Jilin,2015,Autumn,T90,14.827789180045412,3,6,10,9.563824829850114,4.422061468886955,30,1.190386969342661
Jilin,2015,Autumn,W,5.234586543219744,3,6,10,6.347817724080207,3.3587143097765035,30,-0.33144563013891476
Jilin,2015,Summer,T10,8.754081480019627,3,6,10,9.615492988035236,3.7515103734703086,30,-0.22961725338873737
Jilin,2015,Summer,T90,8.701607498065648,3,6,10,9.583001016094654,6.472096141548924,30,-0.1361836256372526
Jilin,2015,Summer,W,3.8678713895284793,3,6,10,6.59529494499161,3.171245783403919,30,-0.8600479879978263
Jilin,2015,Winter,T10,7.471792357178839,3,6,10,9.551527418618987,7.670529064146335,29,-0.2711331961652119
Jilin,2015,Winter,T90,11.159867740296079,3,6,10,9.91376159424016,5.333592775536447,29,0.23363353718555813
Jilin,2015,Winter,W,7.271161382779115,3,6,10,6.3730096856980705,2.521033451049837,29,0.3562633001585228
