area,season_year,season,component,raw_value,month_count,grid_count,station_count,reference_mean,reference_sd,reference_n,standardized_value
China,1982,Spring,T10,10.81502217825596,3,161,432,9.516874403257894,2.6193918585703555,30,0.4955912841947158
China,1982,Spring,T90,7.762312725916047,3,161,432,9.637034156630955,3.0795069758316305,30,-0.6087732372188032
China,1982,Spring,W,10.474974285101016,3,164,483,6.75286252703229,1.83592933531138,30,2.0273720161661033
China,1982,Summer,D,36.24968655537,3,157,392,53.648412346899406,8.61892949885893,23,-2.0186643589360886
China,1982,Summer,P,57.51934201756126,3,168,569,68.5605871564573,19.715863393875775,29,-0.5600183425051384
China,1982,Summer,T10,12.725272666293916,3,163,430,9.50006846486689,2.3513554227921034,30,1.3716361933906511
China,1982,Summer,T90,6.719998173372145,3,163,430,9.56443013998634,3.111738492566681,30,-0.9140973682103986
China,1982,Summer,W,10.192774290310332,3,165,494,6.465953511427338,1.8240239078538407,30,2.043186365505482
China,1982,Winter,D,27.63441410724549,3,157,396,52.90372256839304,10.678857936018858,23,-2.366293157240755
China,1982,Winter,T10,9.608191482432185,3,161,440,9.63628695181168,3.701187012932158,29,-0.007590934822079654
China,1982,Winter,T90,7.49436995680982,3,161,440,9.858294827832138,3.437633679617671,29,-0.6876604930416061
China,1982,Winter,W,8.63139127866564,3,164,481,6.26886931963724,1.36075070947625,29,1.7361901357653748
China,1983,Autumn,D,58.78150551198063,3,163,442,54.183622499059034,8.544305730859591,23,0.538122482709784
China,1983,Autumn,P,30.469680217985438,3,169,612,35.09081557425016,17.811151435192333,27,-0.2594518031627088
China,1983,Autumn,T10,6.241633385339661,3,165,446,9.46769031698568,3.5828606387523703,30,-0.9004137355365855
China,1983,Autumn,T90,8.121033112490943,3,165,446,9.551843929183214,3.3936550145438056,30,-0.421613514208252
China,1983,Autumn,W,7.701298983245827,3,168,498,6.0723024477383145,1.7036813394852086,30,0.9561626917858578
China,1983,Spring,D,49.96187269097518,3,163,442,53.11320219473977,9.847511234763543,23,-0.32001278583362414
China,1983,Spring,P,28.253302292530506,3,169,604,37.89382531287357,19.927933666985215,29,-0.48376932508133547
China,1983,Spring,T10,11.563657755947043,3,165,450,9.516874403257894,2.6193918585703555,30,0.7813963939730146
China,1983,Spring,T90,6.774334259001563,3,165,450,9.637034156630955,3.0795069758316305,30,-0.9295968218601977
China,1983,Spring,W,10.938600851200734,3,168,488,6.75286252703229,1.83592933531138,30,2.279901651802153
China,1983,Summer,D,54.371689101477905,3,163,442,53.648412346899406,8.61892949885893,23,0.08391723759595143
China,1983,Summer,P,52.074234630826794,3,170,603,68.5605871564573,19.715863393875775,29,-0.8361973399933157
China,1983,Summer,T10,12.386606899664026,3,165,442,9.50006846486689,2.3513554227921034,30,1.2276061742165425
China,1983,Summer,T90,7.350288888631975,3,165,442,9.56443013998634,3.111738492566681,30,-0.711544770437331
China,1983,Summer,W,10.26185981076415,3,168,485,6.465953511427338,1.8240239078538407,30,2.0810617026413336
China,1983,Winter,D,45.55157637435772,3,163,444,52.90372256839304,10.678857936018858,23,-0.6884768238406067
China,1983,Winter,P,14.109843447741694,3,168,592,12.200949602540161,5.350857255891198,26,0.3567454248755888
China,1983,Winter,T10,15.9241573667364,3,165,447,9.63628695181168,3.701187012932158,29,1.6988794116467347
China,1983,Winter,T90,4.9894965078680125,3,165,447,9.858294827832138,3.437633679617671,29,-1.4163226142541245
China,1983,Winter,W,9.148893910365972,3,168,517,6.26886931963724,1.36075070947625,29,2.116496850357879
