station_id,USAF,STATION NAME,CTRY,ICAO,lat,lon,elev_m,province,province_source,region,grid_id,grid_lat,grid_lon
592800-99999,592800,QING YUAN,CH,,23.7,113.083,19.0,Guangdong,station_table_pdf,South,23.75_113.75,23.75,113.75
592830-99999,592830,LIANG-KOU (?),CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25
592870-99999,592870,BAIYUN INTL,CH,ZGGG,23.392,113.299,15.2,Guangdong,station_table_pdf,South,23.75_113.75,23.75,113.75
592871-99999,592871,HUANGHUA,CH,ZGHA,28.189,113.22,66.1,Hunan,province_geojson,East,28.75_113.75,28.75,113.75
592880-99999,592880,GUANG-ZHOU/EAST,CH,,0.0,0.0,-999.0,Guangdong,station_table_pdf,Southwest,1.25_1.25,1.25,1.25
592930-99999,592930,HEYUAN,CH,,23.8,114.733,41.0,Guangdong,station_table_pdf,South,23.75_113.75,23.75,113.75
592970-99999,592970,BO-LUO,CH,,0.0,0.0,-999.0,Guangdong,station_table_pdf,Southwest,1.25_1.25,1.25,1.25
592980-99999,592980,HUI-YANG,CH,,23.083,114.417,16.0,Guangdong,station_table_pdf,South,23.75_113.75,23.75,113.75
593030-99999,593030,SONG-LIN-BA,CH,,23.967,115.967,152.0,Guangdong,station_table_pdf,South,23.75_116.25,23.75,116.25
593110-99999,593110,APPROXIMATE LOCALE,CH,,23.767,116.017,0.0,Guangdong,province_geojson,South,23.75_116.25,23.75,116.25
593160-99999,593160,SHANTOU,CH,ZGOW,23.4,116.683,3.0,Guangdong,station_table_pdf,South,23.75_116.25,23.75,116.25
593170-99999,593170,HUILAI,CH,,23.083,116.3,30.0,Guangdong,station_table_pdf,South,23.75_116.25,23.75,116.25
593260-99999,593260,XIONG-DI ISLAND,CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25
593270-99999,593270,APPROXIMATE LOCALE,CH,,23.167,117.167,0.0,Guangdong,nearest_station_table_coord,South,23.75_116.25,23.75,116.25
593450-99999,593450,MAGONG,CH,,23.517,119.567,22.0,Unmapped,unmapped,South,23.75_118.75,23.75,118.75
593460-99999,593460,P ENG-HU,CH,,23.533,119.567,21.0,Taiwan,province_geojson,South,23.75_118.75,23.75,118.75
