province,wmo_id,usaf_prefix,lat_table,lon_table,elev_table_m
Jiangsu,58358,583580,31.066666666666666,120.43333333333334,21.0
Jiangsu,58359,583590,31.133333333333333,120.61666666666666,8.5
Jiangsu,58360,583600,31.916666666666668,121.2,6.5
Jiangsu,58377,583770,31.516666666666666,121.1,6.7
Jiangxi,57598,575980,29.033333333333335,114.58333333333333,144.4
Jiangxi,57694,576940,28.533333333333335,114.38333333333334,261.0
Jiangxi,57696,576960,28.4,114.78333333333333,92.9
Jiangxi,57698,576980,28.116666666666667,114.45,99.7
Jiangxi,57699,576990,28.233333333333334,114.91666666666667,67.8
Jiangxi,57783,577830,27.883333333333333,113.81666666666666,117.0
Jiangxi,57786,577860,27.633333333333333,113.85,118.7
Jiangxi,57789,577890,27.133333333333333,113.95,195.7
Jiangxi,57792,577920,27.816666666666666,114.68333333333334,94.9
Jiangxi,57793,577930,27.8,114.38333333333334,132.3
Jiangxi,57794,577940,27.633333333333333,114.01666666666667,173.2
Jiangxi,57796,577960,27.833333333333332,114.88333333333334,190.3
Jiangxi,57798,577980,27.4,114.6,87.1
Jiangxi,57799,577990,27.05,114.91666666666667,73.7
Jiangxi,57883,578830,26.75,114.28333333333333,257.1
Jiangxi,57891,578910,26.933333333333334,114.25,154.0
Jiangxi,57894,578940,26.583333333333332,114.16666666666667,848.4
Jiangxi,57895,578950,26.466666666666665,114.78333333333333,102.8
Jiangxi,57896,578960,26.333333333333332,114.5,127.3
Jiangxi,57899,578990,26.8,114.91666666666667,72.6
Jiangxi,57990,579900,25.7,114.3,248.1
Jiangxi,57991,579910,25.8,114.55,141.9
Jiangxi,57992,579920,25.666666666666668,114.75,128.2
Jiangxi,57993,579930,25.866666666666667,115.0,138.7
Jiangxi,57994,579940,25.4,114.35,216.8
Jiangxi,57995,579950,25.4,114.93333333333334,165.4
Jiangxi,58502,585020,29.733333333333334,116.0,37.1
Jiangxi,58503,585030,29.7,115.66666666666667,42.4
Jiangxi,58505,585050,29.616666666666667,115.9,57.0
Jiangxi,58506,585060,29.583333333333332,115.98333333333333,1165.4
Jiangxi,58507,585070,29.25,115.11666666666666,117.1
Jiangxi,58508,585080,29.333333333333332,115.76666666666667,42.5
Jiangxi,58509,585090,29.05,115.81666666666666,37.8
Jiangxi,58510,585100,29.733333333333334,116.23333333333333,41.3
Jiangxi,58512,585120,29.9,116.55,72.5
Jiangxi,58514,585140,29.45,116.05,38.3
Jiangxi,58517,585170,29.266666666666666,116.2,36.7
Jiangxi,58519,585190,29.0,116.68333333333334,45.3
Jiangxi,58524,585240,29.366666666666667,117.21666666666667,87.3
Jiangxi,58527,585270,29.3,117.2,62.9
Jiangxi,58529,585290,29.266666666666666,117.85,82.1
Jiangxi,58600,586000,28.866666666666667,115.36666666666666,80.1
Jiangxi,58601,586010,28.7,115.38333333333334,54.9
Jiangxi,58602,586020,28.85,115.55,39.8
Jiangxi,58605,586050,28.416666666666668,115.38333333333334,48.3
